EmployeeId,Age,Gender,MaritalStatus,Turnover,Department,Role,RoleGrade,QualificationsHeld,YearsWorkExperience,EducationField,EmployeeSatisfactionScore,JobEngagementScore,JobSatisfactionScore,PreviousManagerRelationshipSatisfactionScore,ManagerRelationshipSatisfactionScore,Traveling,RegularOvertime,PercentSalaryHike,ContractHours,SharesOptionLevel,TrainingTimesLastYear,WorkLifeBalanceScore,YearsAtCompany,YearsInCurrentRole,YearsWithCurrentManager,DistanceFromHome
70,19,F,Married,No,Research & Development,Laboratory Technician,1,3,6,Medical,1,3,3,4,3,Sometimes,Yes,17,37.5,1,2,1,6,2,2,1
71,29,M,Divorced,No,Sales,Sales Executive,2,5,1,Life Sciences,4,1,1,4,3,Mostly,No,18,37.5,2,3,3,16,11,9,2
72,46,F,Divorced,No,Research & Development,Manufacturing Director,2,4,4,Medical,3,4,3,4,3,Sometimes,No,12,37.5,1,2,2,17,8,7,20
73,38,F,Married,No,Research & Development,Laboratory Technician,2,1,8,Other,4,3,3,4,3,Sometimes,Yes,11,37.5,1,2,3,4,2,1,23
74,39,M,Married,Yes,Research & Development,Healthcare Representative,2,4,0,Medical,2,2,4,4,3,No,No,18,37.5,3,1,3,9,0,1,25
75,43,M,Divorced,No,Sales,Sales Executive,2,4,8,Marketing,3,3,4,4,3,Sometimes,No,12,37.5,1,4,3,7,2,7,19
76,39,M,Single,Yes,Sales,Human Resources,1,3,0,Marketing,3,4,4,4,3,Sometimes,No,17,37.5,0,2,3,0,0,0,1
77,37,M,Single,Yes,Research & Development,Healthcare Representative,2,3,4,Life Sciences,3,2,1,3,3,Mostly,No,11,37.5,0,2,3,8,4,7,9
78,24,F,Single,No,Research & Development,Laboratory Technician,1,3,1,Life Sciences,4,3,4,3,3,Mostly,No,18,37.5,0,4,3,4,2,2,1
79,35,M,Divorced,No,Sales,Sales Executive,2,1,4,Marketing,1,3,3,1,3,Sometimes,No,18,37.5,2,1,4,3,2,3,1
80,46,M,Single,No,Research & Development,Healthcare Representative,2,4,2,Life Sciences,2,3,2,3,3,Sometimes,No,14,37.5,0,4,4,4,1,1,1
81,25,M,Married,No,Research & Development,Research Scientist,1,1,1,Medical,2,2,2,2,3,Sometimes,No,12,37.5,1,2,3,5,3,3,25
82,39,F,Married,No,Sales,Sales Representative,2,4,7,Marketing,1,3,3,2,3,Sometimes,No,15,37.5,1,3,3,10,7,8,2
83,46,M,Married,No,Research & Development,Laboratory Technician,1,3,0,Life Sciences,3,3,3,3,4,Sometimes,No,20,37.5,1,2,3,8,1,2,5
84,35,M,Divorced,No,Sales,Sales Representative,1,1,4,Life Sciences,3,3,2,4,3,Mostly,No,13,37.5,2,6,3,1,1,1,6
85,39,F,Single,Yes,Research & Development,Laboratory Technician,1,4,3,Medical,3,1,2,3,3,Mostly,No,12,37.5,0,2,1,7,0,7,2
86,40,M,Married,No,Research & Development,Research Scientist,2,4,1,Technical Degree,1,3,3,2,3,Sometimes,Yes,15,37.5,0,3,1,16,16,12,2
87,34,M,Divorced,No,Sales,Sales Executive,2,3,6,Medical,2,3,4,1,3,Sometimes,No,11,37.5,2,5,3,4,4,3,1
88,37,M,Married,Yes,Research & Development,Healthcare Representative,3,3,7,Life Sciences,2,1,2,3,3,Sometimes,No,15,37.5,3,2,3,2,2,2,29
89,30,M,Divorced,No,Research & Development,Laboratory Technician,2,2,5,Medical,3,4,1,1,3,Sometimes,No,12,37.5,2,0,3,11,3,7,1
90,40,M,Divorced,No,Research & Development,Healthcare Representative,2,3,2,Medical,2,3,1,3,3,Sometimes,No,14,37.5,1,4,1,1,1,1,2
91,26,M,Divorced,Yes,Research & Development,Laboratory Technician,1,1,1,Human Resources,1,2,1,4,3,Sometimes,Yes,14,37.5,0,2,2,5,2,2,2
92,41,M,Single,No,Sales,Sales Executive,5,4,7,Other,3,3,4,4,3,Sometimes,Yes,11,37.5,0,2,1,3,2,2,4
93,47,F,Married,No,Sales,Manager,4,3,2,Marketing,4,3,3,4,3,Sometimes,No,12,37.5,1,4,3,4,4,4,12
94,35,M,Married,No,Research & Development,Healthcare Representative,2,4,0,Medical,3,4,3,4,4,Sometimes,No,22,37.5,1,2,3,10,3,8,8
95,36,F,Married,No,Sales,Sales Representative,1,5,1,Marketing,1,3,3,2,3,Sometimes,No,15,37.5,2,2,3,5,2,2,10
96,32,F,Divorced,No,Research & Development,Laboratory Technician,2,2,4,Other,3,3,3,3,3,Sometimes,Yes,15,37.5,1,3,1,7,3,7,13
97,20,F,Single,Yes,Sales,Sales Executive,2,3,1,Marketing,4,2,3,3,3,Sometimes,No,12,37.5,0,2,4,7,4,7,29
98,42,F,Married,No,Sales,Sales Executive,2,2,4,Marketing,4,3,4,3,3,Sometimes,No,15,37.5,3,5,3,2,2,2,24
99,40,M,Single,No,Research & Development,Healthcare Representative,3,3,7,Medical,4,3,4,1,3,Sometimes,Yes,11,37.5,0,2,3,13,6,12,2
100,44,M,Single,No,Sales,Sales Representative,1,3,2,Technical Degree,2,3,4,4,3,Mostly,No,12,37.5,0,2,2,2,2,2,10
101,28,F,Married,No,Human Resources,Human Resources,3,3,1,Life Sciences,3,3,3,4,3,Sometimes,Yes,13,37.5,1,2,3,3,2,2,1
102,28,F,Married,No,Research & Development,Laboratory Technician,1,3,1,Medical,3,2,4,3,3,Sometimes,No,19,37.5,0,2,3,2,2,2,19
103,56,F,Single,No,Sales,Sales Executive,3,2,6,Life Sciences,3,3,4,3,3,No,Yes,14,37.5,0,2,2,4,2,2,4
104,36,F,Divorced,No,Research & Development,Research Director,4,2,6,Life Sciences,4,2,3,2,4,No,No,20,37.5,2,2,3,18,17,9,1
105,31,F,Single,Yes,Research & Development,Research Scientist,1,3,2,Medical,1,3,1,1,3,Sometimes,No,18,37.5,0,2,2,1,1,1,10
106,42,F,Single,No,Research & Development,Research Director,4,3,2,Medical,3,3,2,3,3,Sometimes,No,15,37.5,0,2,2,22,0,10,2
107,42,F,Married,No,Research & Development,Manufacturing Director,2,4,2,Life Sciences,4,2,2,3,3,Mostly,No,13,37.5,0,3,2,5,2,2,1
108,32,M,Single,No,Human Resources,Laboratory Technician,1,4,1,Medical,3,3,2,2,3,Sometimes,Yes,15,37.5,0,5,3,8,0,8,9
109,37,M,Married,No,Sales,Sales Executive,5,4,0,Life Sciences,3,2,4,4,4,No,No,22,37.5,1,2,3,19,17,8,1
110,43,F,Married,No,Research & Development,Research Director,3,3,2,Medical,3,3,3,1,3,Sometimes,No,14,37.5,1,1,1,1,1,1,15
111,34,F,Married,Yes,Research & Development,Research Scientist,2,4,1,Life Sciences,3,3,2,4,4,Mostly,No,20,37.5,3,1,2,12,2,7,18
112,40,M,Single,No,Sales,Sales Executive,2,4,8,Marketing,2,3,2,4,3,Sometimes,No,12,37.5,0,1,3,10,1,8,6
113,28,M,Divorced,No,Sales,Sales Executive,2,3,8,Medical,4,3,1,2,3,Sometimes,No,14,37.5,1,5,3,3,2,2,1
114,33,M,Single,No,Research & Development,Manufacturing Director,1,3,2,Life Sciences,2,2,4,1,3,Sometimes,Yes,12,37.5,0,1,2,1,1,1,3
115,44,M,Single,No,Research & Development,Human Resources,1,4,2,Technical Degree,4,2,3,3,3,No,No,15,37.5,0,2,4,1,1,1,1
116,30,M,Single,No,Sales,Sales Executive,2,1,8,Marketing,4,3,2,1,3,Sometimes,Yes,13,37.5,0,5,3,4,2,2,1
117,57,M,Married,No,Research & Development,Laboratory Technician,1,2,4,Medical,2,3,1,1,4,Sometimes,No,21,37.5,1,5,1,1,1,1,1
118,42,M,Divorced,No,Sales,Manager,4,4,4,Marketing,1,4,4,2,3,Sometimes,No,11,37.5,1,3,3,30,6,6,1
119,30,M,Married,No,Research & Development,Research Scientist,2,3,1,Life Sciences,3,4,4,4,4,Sometimes,No,21,37.5,2,2,3,10,7,8,9
120,22,M,Married,Yes,Sales,Sales Representative,1,1,0,Marketing,1,4,3,3,3,Sometimes,Yes,15,37.5,0,0,3,4,2,4,28
121,49,M,Married,No,Research & Development,Research Scientist,1,4,1,Medical,4,3,2,2,3,Sometimes,No,17,37.5,0,6,3,2,2,2,2
122,37,F,Single,No,Research & Development,Healthcare Representative,3,3,8,Medical,1,2,4,1,3,Sometimes,Yes,13,37.5,0,6,3,2,2,2,1
123,37,F,Married,No,Research & Development,Laboratory Technician,1,4,9,Medical,1,3,4,3,4,Sometimes,Yes,20,37.5,1,2,3,15,11,15,16
124,34,F,Single,Yes,Sales,Sales Executive,2,2,2,Life Sciences,2,2,2,1,4,Sometimes,Yes,22,37.5,0,3,3,5,5,3,7
125,38,F,Married,No,Sales,Sales Executive,2,3,0,Medical,4,3,2,1,3,Mostly,No,19,37.5,1,2,2,5,5,5,2
126,40,M,Married,No,Research & Development,Healthcare Representative,2,1,0,Life Sciences,2,3,1,3,3,Sometimes,No,13,37.5,1,3,3,16,15,7,8
127,33,F,Divorced,No,Research & Development,Healthcare Representative,2,3,4,Life Sciences,1,3,3,4,3,No,No,11,37.5,2,2,3,3,2,2,19
128,29,M,Divorced,No,Research & Development,Research Scientist,1,3,1,Medical,4,2,3,3,4,Mostly,No,23,37.5,3,5,2,3,2,2,2
129,45,F,Divorced,No,Research & Development,Research Director,3,4,2,Other,4,2,3,1,3,Sometimes,No,16,37.5,1,2,3,11,10,10,7
130,18,M,Divorced,No,Research & Development,Laboratory Technician,1,1,1,Life Sciences,2,3,4,4,3,Sometimes,No,14,37.5,0,3,3,7,7,2,1
131,48,F,Divorced,No,Sales,Sales Executive,2,3,7,Marketing,4,3,2,3,3,Sometimes,No,12,37.5,1,2,3,0,0,0,27
132,28,M,Single,No,Sales,Sales Representative,1,3,0,Marketing,3,3,3,3,3,Sometimes,No,11,37.5,0,2,4,4,2,2,6
133,27,F,Single,Yes,Research & Development,Laboratory Technician,1,1,1,Medical,1,3,3,1,3,Sometimes,No,12,37.5,0,0,3,1,1,1,6
134,28,M,Single,Yes,Sales,Sales Representative,1,3,1,Technical Degree,4,3,1,1,3,Sometimes,No,16,37.5,0,2,4,8,4,4,7
135,56,M,Married,No,Research & Development,Research Director,5,1,5,Life Sciences,3,1,3,2,3,Sometimes,No,16,37.5,1,2,3,7,7,7,2
136,31,F,Married,No,Research & Development,Research Scientist,1,1,9,Life Sciences,3,3,4,1,3,Sometimes,Yes,11,37.5,2,5,3,7,0,4,1
137,30,M,Married,No,Research & Development,Laboratory Technician,1,4,4,Life Sciences,1,3,2,4,3,No,No,14,37.5,1,1,3,3,2,2,9
138,46,M,Married,Yes,Sales,Sales Executive,3,3,4,Life Sciences,2,2,3,3,3,Sometimes,No,14,37.5,0,5,4,13,9,10,8
139,40,M,Divorced,No,Research & Development,Manufacturing Director,5,3,3,Life Sciences,2,4,3,3,3,Mostly,No,11,37.5,1,2,3,6,3,3,18
140,57,M,Married,No,Sales,Manager,4,4,7,Medical,1,3,4,1,3,Sometimes,No,13,37.5,3,1,3,23,13,13,1
141,38,F,Married,Yes,Research & Development,Research Scientist,1,4,1,Technical Degree,2,4,3,3,3,Sometimes,No,17,37.5,1,5,3,1,1,1,5
142,34,F,Married,No,Research & Development,Research Scientist,1,2,4,Medical,3,3,3,4,3,No,Yes,12,37.5,0,2,3,7,0,7,7
143,31,F,Single,No,Research & Development,Laboratory Technician,1,3,3,Medical,4,2,2,4,3,No,No,12,37.5,0,2,2,9,4,9,5
144,32,M,Married,Yes,Research & Development,Research Scientist,1,2,1,Life Sciences,3,3,3,2,3,Sometimes,No,13,37.5,1,3,2,0,0,0,4
145,31,M,Divorced,No,Research & Development,Healthcare Representative,2,2,4,Life Sciences,3,2,1,1,3,Mostly,No,13,37.5,1,3,3,1,1,1,4
146,21,M,Single,No,Sales,Sales Executive,3,1,1,Medical,3,1,2,4,3,Sometimes,Yes,11,37.5,0,3,2,10,5,9,5
147,34,M,Married,No,Research & Development,Research Scientist,1,1,1,Technical Degree,2,3,3,1,3,Sometimes,No,14,37.5,1,3,3,10,8,9,2
148,54,F,Single,No,Research & Development,Healthcare Representative,4,4,1,Life Sciences,2,2,4,3,3,Mostly,No,13,37.5,0,2,2,10,7,9,1
149,36,F,Divorced,Yes,Research & Development,Research Director,5,3,1,Life Sciences,3,3,2,4,3,Sometimes,Yes,11,37.5,1,3,3,16,7,4,2
150,27,M,Married,Yes,Research & Development,Laboratory Technician,1,3,0,Medical,4,1,1,4,3,Mostly,Yes,11,37.5,0,5,3,5,0,2,16
151,41,M,Single,No,Research & Development,Manufacturing Director,2,3,0,Medical,1,4,1,4,3,Sometimes,No,11,37.5,0,2,3,8,7,7,8
152,26,F,Single,Yes,Sales,Sales Representative,1,3,1,Other,3,3,3,4,3,Sometimes,Yes,12,37.5,0,3,3,2,2,2,8
153,20,F,Single,No,Research & Development,Research Scientist,1,3,1,Medical,1,4,4,4,3,Sometimes,No,16,37.5,0,0,2,4,2,2,3
154,31,M,Divorced,No,Research & Development,Manufacturing Director,2,2,0,Medical,3,3,2,4,3,Mostly,Yes,12,37.5,2,3,3,9,7,2,11
155,50,F,Married,No,Research & Development,Research Scientist,1,4,3,Medical,4,3,2,4,3,Sometimes,No,12,37.5,2,5,3,7,4,1,12
156,19,M,Single,Yes,Research & Development,Research Scientist,1,2,0,Medical,2,2,4,1,3,Sometimes,No,15,37.5,0,0,2,1,1,1,5
157,54,M,Divorced,No,Sales,Sales Representative,1,4,4,Medical,4,3,4,3,3,Mostly,No,12,37.5,3,3,4,2,2,2,1
158,36,M,Single,No,Sales,Sales Executive,2,2,7,Life Sciences,3,3,2,3,3,Mostly,No,14,37.5,0,3,3,9,2,4,6
159,37,M,Married,No,Sales,Sales Executive,3,3,1,Medical,1,3,3,3,3,Sometimes,No,12,37.5,1,3,2,10,7,10,9
160,35,M,Married,No,Research & Development,Laboratory Technician,2,3,1,Technical Degree,3,3,1,3,3,Sometimes,No,12,37.5,0,2,2,3,2,2,2
161,51,M,Single,No,Research & Development,Research Director,4,2,5,Technical Degree,3,2,2,4,3,Sometimes,No,16,37.5,0,2,2,18,7,7,1
162,50,F,Divorced,No,Research & Development,Manufacturing Director,4,4,5,Life Sciences,4,3,3,3,3,Sometimes,No,15,37.5,3,4,3,23,14,10,5
163,37,M,Single,No,Research & Development,Laboratory Technician,1,3,1,Medical,4,3,4,1,3,Sometimes,No,13,37.5,0,5,3,4,3,1,8
164,51,M,Divorced,No,Sales,Sales Executive,3,3,4,Marketing,2,3,1,4,3,No,No,12,37.5,3,2,4,21,8,10,1
165,29,F,Married,No,Research & Development,Research Scientist,1,1,1,Life Sciences,3,3,4,1,3,Sometimes,No,14,37.5,1,3,3,1,1,1,3
166,26,M,Divorced,Yes,Sales,Sales Executive,2,2,1,Human Resources,2,3,3,3,3,Mostly,Yes,15,37.5,2,2,4,4,3,3,9
167,37,M,Divorced,No,Research & Development,Research Scientist,1,4,3,Life Sciences,4,1,4,2,3,No,No,12,37.5,3,1,3,8,7,8,4
168,25,M,Single,No,Research & Development,Laboratory Technician,1,2,0,Life Sciences,2,2,2,3,3,No,No,13,37.5,0,0,3,5,3,2,9
169,24,M,Married,Yes,Research & Development,Research Scientist,1,3,1,Life Sciences,1,2,3,1,3,Sometimes,No,14,37.5,0,6,4,1,1,1,3
170,29,F,Single,No,Research & Development,Research Scientist,2,3,1,Life Sciences,3,3,1,3,3,Mostly,No,17,37.5,0,4,3,8,4,7,8
171,26,M,Single,Yes,Research & Development,Laboratory Technician,1,2,1,Medical,4,4,4,3,3,Sometimes,Yes,12,37.5,0,6,3,9,7,8,15
172,42,M,Divorced,No,Sales,Sales Executive,3,3,6,Medical,2,1,4,4,4,Sometimes,Yes,21,37.5,1,5,3,5,3,1,24
173,20,F,Single,No,Research & Development,Laboratory Technician,1,2,0,Life Sciences,2,3,4,3,3,Mostly,Yes,13,37.5,0,2,3,6,3,2,7
174,41,F,Married,No,Research & Development,Healthcare Representative,2,4,8,Other,3,3,3,4,3,Sometimes,Yes,16,37.5,1,2,2,1,1,1,2
175,22,F,Married,Yes,Research & Development,Research Scientist,1,1,1,Medical,3,3,2,1,3,Sometimes,Yes,18,37.5,1,5,3,8,3,6,10
176,45,M,Divorced,No,Research & Development,Manufacturing Director,2,2,2,Life Sciences,2,2,4,1,4,Mostly,Yes,22,37.5,2,0,3,7,4,3,1
177,41,M,Single,Yes,Sales,Sales Representative,1,2,1,Marketing,1,3,3,3,3,Mostly,No,13,37.5,0,3,3,1,1,1,4
178,28,M,Single,No,Sales,Sales Executive,2,2,0,Marketing,4,2,4,2,3,Sometimes,Yes,14,37.5,0,4,2,7,4,7,8
179,58,F,Single,No,Research & Development,Manufacturing Director,2,4,9,Medical,1,3,1,1,4,Sometimes,No,20,37.5,0,3,3,4,4,1,3
180,43,F,Married,No,Research & Development,Healthcare Representative,2,4,7,Life Sciences,3,3,4,2,3,Sometimes,No,18,37.5,1,2,3,7,7,7,22
181,55,M,Divorced,No,Research & Development,Research Director,4,3,8,Technical Degree,4,1,2,4,4,Sometimes,No,22,37.5,1,2,3,26,9,4,2
182,40,M,Single,No,Research & Development,Healthcare Representative,2,4,3,Other,3,3,1,4,3,Mostly,No,19,37.5,0,4,3,6,3,3,10
